Name : Public Health Ontario | FormattedAddress: 480 University Ave #300, Toronto, ON M5G 1V2, Canada | LocationType: Rooftop | Location_Lat: 43.6550684 | Location_long: -79.3888853
Name : Ministry of Health and Long-Term Care | FormattedAddress: 5700 Yonge St, North York, ON M2M 4K5, Canada | LocationType: Rooftop | Location_Lat: 43.7810748 | Location_long: -79.4167181
Name : Spectrum Health Care | FormattedAddress: 1290 Central Pkwy W, Mississauga, ON L5C 4R3, Canada | LocationType: Rooftop | Location_Lat: 43.5667193 | Location_long: -79.66464119999999
Name : Providence Healthcare | FormattedAddress: 3276 St Clair Ave E, Scarborough, ON M1L 1W1, Canada | LocationType: Rooftop | Location_Lat: 43.711983 | Location_long: -79.284789
Name : Telehealth Ontario | FormattedAddress: 900 Bay St, Toronto, ON M7A 1N3, Canada | LocationType: Rooftop | Location_Lat: 43.6634308 | Location_long: -79.3876748
Name : University Health Network | FormattedAddress: 101 College St, Toronto, ON M5G 1L7, Canada | LocationType: Rooftop | Location_Lat: 43.6598777 | Location_long: -79.38761810000001
Name : Spectrum Health Care | FormattedAddress: 2 Bloor St E #1200, Toronto, ON M4W 1A8, Canada | LocationType: Rooftop | Location_Lat: 43.6706111 | Location_long: -79.38670069999999
Name : Home Care Ontario | FormattedAddress: 175 Longwood Rd S #319a, Hamilton, ON L8P 0A1, Canada | LocationType: Rooftop | Location_Lat: 43.256869 | Location_long: -79.901034
Name : Canada Health | FormattedAddress: 33 Court St S, Thunder Bay, ON P7B 2W6, Canada | LocationType: Rooftop | Location_Lat: 48.4344932 | Location_long: -89.2227316
Name : Bayshore Home Health | FormattedAddress: 89 Queensway W #202, Mississauga, ON L5B 2V2, Canada | LocationType: Rooftop | Location_Lat: 43.5725779 | Location_long: -79.6104222
Name : Ontario Health Services | FormattedAddress: 6677 Meadowvale Town Centre Cir, Mississauga, ON L5N 6A2, Canada | LocationType: Rooftop | Location_Lat: 43.581568 | Location_long: -79.7575554
Name : Cleveland Clinic Canada | FormattedAddress: 181 Bay St 30th Floor, Toronto, ON M5J 2T3, Canada | LocationType: Rooftop | Location_Lat: 43.6473316 | Location_long: -79.37853009999999
Name : OHIP | FormattedAddress: 47 Sheppard Ave E #4, Toronto, ON M2N 0H2, Canada | LocationType: Rooftop | Location_Lat: 43.761206 | Location_long: -79.40802819999999
Name : Ontario Health (Digital Services) | FormattedAddress: 777 Bay St #701, Toronto, ON M5G 2C8, Canada | LocationType: Rooftop | Location_Lat: 43.6604859 | Location_long: -79.3844559
Name : Trillium Health Partners - Mississauga Hospital | FormattedAddress: 100 Queensway W, Mississauga, ON L5B 1B8, Canada | LocationType: Rooftop | Location_Lat: 43.5715858 | Location_long: -79.6076852
Name : Healthcare of Ontario Pension Plan - HOOPP | FormattedAddress: 1 York St suite 1900, Toronto, ON M5J 0B6, Canada | LocationType: Rooftop | Location_Lat: 43.6415038 | Location_long: -79.3806604
