Name : Panel Physician Toronto | FormattedAddress: 666 Burnhamthorpe Rd #202, Etobicoke, ON M9C 2Z4, Canada | LocationType: Rooftop | Location_Lat: 43.6418117 | Location_long: -79.57600769999999
Name : Apple Hills Medical Associates | FormattedAddress: 1221 Bloor St, Mississauga, ON L4Y 2N8, Canada | LocationType: Rooftop | Location_Lat: 43.6132962 | Location_long: -79.5984441
Name : Dundas Medical Centre | FormattedAddress: 801 Dundas St E, Mississauga, ON L4Y 4E2, Canada | LocationType: Rooftop | Location_Lat: 43.5976156 | Location_long: -79.5982983
Name : Cleveland Clinic Canada | FormattedAddress: 181 Bay St 30th Floor, Toronto, ON M5J 2T3, Canada | LocationType: Rooftop | Location_Lat: 43.6473316 | Location_long: -79.37853009999999
Name : Medical One Centre and Pharmacy For Family Practice and Walk-in Clinic | FormattedAddress: 620 Bloor St, Mississauga, ON L5A 3V9, Canada | LocationType: Rooftop | Location_Lat: 43.5989503 | Location_long: -79.6118741
Name : KCI Medical Canada, Inc | FormattedAddress: 75 Courtneypark Dr W Unit # 4, Mississauga, ON L5W 0E3, Canada | LocationType: Rooftop | Location_Lat: 43.6361157 | Location_long: -79.6962066
Name : Applewood Medical Clinic | FormattedAddress: 966 Dundas St E #8a, Mississauga, ON L4Y 4H5, Canada | LocationType: Rooftop | Location_Lat: 43.6001155 | Location_long: -79.5929977
Name : Appletree Medical Group | FormattedAddress: 1750 The Queensway, Etobicoke, ON M9C 5H5, Canada | LocationType: Rooftop | Location_Lat: 43.6150452 | Location_long: -79.5575124
Name : Lakeshore Cawthra Medical Centre | FormattedAddress: 619 Lakeshore Rd E, Mississauga, ON L5G 1H9, Canada | LocationType: Rooftop | Location_Lat: 43.5691557 | Location_long: -79.5675588
Name : Canadian Cannabis Clinics (Mississauga) | FormattedAddress: 77 Queensway W Suite 311, Mississauga, ON L5B 1B7, Canada | LocationType: Rooftop | Location_Lat: 43.5727687 | Location_long: -79.6100712
Name : Square One Medical - Family Medicine, Walk-In & Pharmacy | FormattedAddress: 4175 Confederation Pkwy #2, Mississauga, ON L5B 0H1, Canada | LocationType: Rooftop | Location_Lat: 43.5889825 | Location_long: -79.649822
Name : Cooksville Family Clinic | FormattedAddress: 3024 Hurontario St #312, Mississauga, ON L5B 4M4, Canada | LocationType: Rooftop | Location_Lat: 43.5804853 | Location_long: -79.61726689999999
Name : Dixie Medical Group | FormattedAddress: 1055 Canadian Pl Unit 113, Mississauga, ON L4W 0C2, Canada | LocationType: Rooftop | Location_Lat: 43.6270567 | Location_long: -79.6279716
Name : Panel Physician North York | FormattedAddress: 2065 Finch Ave W Suite 309, North York, ON M3N 2V7, Canada | LocationType: Rooftop | Location_Lat: 43.7558673 | Location_long: -79.523219
Name : Sherway Medical Centre | FormattedAddress: 190 Sherway Dr, Etobicoke, ON M9C 5N2, Canada | LocationType: Rooftop | Location_Lat: 43.6087366 | Location_long: -79.56034059999999
Name : Hurontario Medical Center | FormattedAddress: 5035 Hurontario St #5, Mississauga, ON L4Z 3X7, Canada | LocationType: Rooftop | Location_Lat: 43.6081576 | Location_long: -79.6527321
Name : Medical Mart Home Health Care Store | FormattedAddress: 101-550 Matheson Blvd W, Mississauga, ON L5R 4B8, Canada | LocationType: Rooftop | Location_Lat: 43.6126088 | Location_long: -79.68613820000002
Name : Bayshore Home Health | FormattedAddress: 89 Queensway W #202, Mississauga, ON L5B 2V2, Canada | LocationType: Rooftop | Location_Lat: 43.5725779 | Location_long: -79.6104222
Name : Winston Park Medical Centre - Family Physicians & Walk-In Clinic | FormattedAddress: 2315 Bristol Cir #104, Oakville, ON L6H 6P8, Canada | LocationType: Rooftop | Location_Lat: 43.5167296 | Location_long: -79.67503090000001
Name : Dixie Road Medical Associates | FormattedAddress: 2200 Dixie Rd, Mississauga, ON L4Y 1Z4, Canada | LocationType: Rooftop | Location_Lat: 43.6015446 | Location_long: -79.57341219999999
Name : Medcan | FormattedAddress: 150 York St #1500, Toronto, ON M5H 3S5, Canada | LocationType: Rooftop | Location_Lat: 43.6494305 | Location_long: -79.3847535
Name : Canadian Place Endoscopy | FormattedAddress: 1065 Canadian Pl Unit# 122-123, Mississauga, ON L4W 0C2, Canada | LocationType: Rooftop | Location_Lat: 43.62800379999999 | Location_long: -79.6267819
Name : Trillium Health Partners - Queensway Health Centre | FormattedAddress: 150 Sherway Dr, Etobicoke, ON M9C 1A5, Canada | LocationType: Rooftop | Location_Lat: 43.60926500000001 | Location_long: -79.562569
Name : Rapid Access to Medical Specialists Clinic | FormattedAddress: 21 Queensway W, Mississauga, ON L5B 1B6, Canada | LocationType: Rooftop | Location_Lat: 43.5738851 | Location_long: -79.6084298
Name : Health Plus Medical Clinic | FormattedAddress: 8-680 Silver Creek Blvd, Mississauga, ON L5A 3Z1, Canada | LocationType: Rooftop | Location_Lat: 43.5954068 | Location_long: -79.6033427
Name : East Mississauga Community Health Centre | FormattedAddress: 2555 Dixie Rd Unit 7, Mississauga, ON L4Y 4C4, Canada | LocationType: Rooftop | Location_Lat: 43.60899999999999 | Location_long: -79.5825124
Name : Summerville Family Health Team (Central) | FormattedAddress: 101 Queensway W, Mississauga, ON L5B 2P7, Canada | LocationType: Rooftop | Location_Lat: 43.572176 | Location_long: -79.61088819999999
Name : Cleveland Clinic Canada - Sport Medicine | FormattedAddress: 150 Eglinton Ave E, Toronto, ON M4P 1E8, Canada | LocationType: Rooftop | Location_Lat: 43.7077979 | Location_long: -79.3939667
Name : Ontario Diagnostic Centres X-Ray & Ultrasound | FormattedAddress: 89 Queensway W #104, Mississauga, ON L5B 2V2, Canada | LocationType: Rooftop | Location_Lat: 43.5725779 | Location_long: -79.6104222
